date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:31	211830/211830	---M--	200	added ('OK')	image/jpeg	etag:%225db6b384-33b76%22	https://demo.zytheme.com/lalan/assets/images/cta/bg-1.jpg	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/cta/bg-1.jpg	(from https://demo.zytheme.com/lalan/)
11:52:32	1229/1229	---M--	200	added ('OK')	image/png	etag:%225db6b384-4cd%22	https://demo.zytheme.com/lalan/assets/images/logo/logo-dark2.png	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/logo/logo-dark2.png	(from https://demo.zytheme.com/lalan/)
11:52:32	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dc06049-4d7%22	https://demo.zytheme.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://demo.zytheme.com/lalan/)
11:52:32	85578/85578	---MCZ	200	added ('OK')	text/javascript	etag:W/%225db6b385-14e4a%22	https://demo.zytheme.com/lalan/assets/js/jquery-2.2.4.min.js	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/js/jquery-2.2.4.min.js	(from https://demo.zytheme.com/lalan/)
11:52:33	351599/351599	---MCZ	200	added ('OK')	text/javascript	etag:W/%225db6b385-55d6f%22	https://demo.zytheme.com/lalan/assets/js/plugins.js	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/js/plugins.js	(from https://demo.zytheme.com/lalan/)
11:52:34	9481/9481	---MCZ	200	added ('OK')	text/javascript	etag:W/%225db6b385-2509%22	https://demo.zytheme.com/lalan/assets/js/functions.js	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/js/functions.js	(from https://demo.zytheme.com/lalan/)
11:52:35	76518/76518	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225db6b384-12ae6%22	https://demo.zytheme.com/lalan/assets/fonts/fontawesome-webfont.eot?v=4.6.3	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/fonts/fontawesome-webfont5b62.eot	(from https://demo.zytheme.com/lalan/assets/css/external.css)
11:52:36	76518/76518	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225db6b384-12ae6%22	https://demo.zytheme.com/lalan/assets/fonts/fontawesome-webfont.eot?	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/fonts/fontawesome-webfontd41d.eot	(from https://demo.zytheme.com/lalan/assets/css/external.css)
11:52:36	71896/71896	---MCZ	200	added ('OK')	text/plain	etag:W/%225db6b384-118d8%22	https://demo.zytheme.com/lalan/assets/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/fonts/fontawesome-webfont5b62.woff2	(from https://demo.zytheme.com/lalan/assets/css/external.css)
11:52:37	90412/90412	---MCZ	200	added ('OK')	text/plain	etag:W/%225db6b384-1612c%22	https://demo.zytheme.com/lalan/assets/fonts/fontawesome-webfont.woff?v=4.6.3	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/fonts/fontawesome-webfont5b62.woff	(from https://demo.zytheme.com/lalan/assets/css/external.css)
11:52:38	152796/152796	---MCZ	200	added ('OK')	text/plain	etag:W/%225db6b384-254dc%22	https://demo.zytheme.com/lalan/assets/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/fonts/fontawesome-webfont5b62.ttf	(from https://demo.zytheme.com/lalan/assets/css/external.css)
11:52:39	957/957	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2013%20Nov%202019%2006:22:32%20GMT	https://demo.zytheme.com/lalan/assets/fonts/fontawesome-webfont.svg?v=4.6.3	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/fonts/fontawesome-webfont5b62.svg	(from https://demo.zytheme.com/lalan/assets/css/external.css)
11:52:39	957/957	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2013%20Nov%202019%2006:22:33%20GMT	https://demo.zytheme.com/lalan/assets/css/fonts/Stroke-Gap-Icons.eot	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/css/fonts/Stroke-Gap-Icons.eot	(from https://demo.zytheme.com/lalan/assets/css/external.css)
11:52:40	55820/55820	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225db6b384-da0c%22	https://demo.zytheme.com/lalan/assets/css/fonts/Linearicons-Free.eot?w118d	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/css/fonts/Linearicons-Free54e9.eot	(from https://demo.zytheme.com/lalan/assets/css/external.css)
11:52:41	55820/55820	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225db6b384-da0c%22	https://demo.zytheme.com/lalan/assets/css/fonts/Linearicons-Free.eot?	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/css/fonts/Linearicons-Freed41d.eot	(from https://demo.zytheme.com/lalan/assets/css/external.css)
11:52:42	21780/21780	---MCZ	200	added ('OK')	text/plain	etag:W/%225db6b384-5514%22	https://demo.zytheme.com/lalan/assets/css/fonts/Linearicons-Free.woff2?w118d	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/css/fonts/Linearicons-Free54e9.woff2	(from https://demo.zytheme.com/lalan/assets/css/external.css)
11:52:43	55696/55696	---MCZ	200	added ('OK')	text/plain	etag:W/%225db6b384-d990%22	https://demo.zytheme.com/lalan/assets/css/fonts/Linearicons-Free.woff?w118d	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/css/fonts/Linearicons-Free54e9.woff	(from https://demo.zytheme.com/lalan/assets/css/external.css)
11:52:44	55620/55620	---MCZ	200	added ('OK')	text/plain	etag:W/%225db6b384-d944%22	https://demo.zytheme.com/lalan/assets/css/fonts/Linearicons-Free.ttf?w118d	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/css/fonts/Linearicons-Free54e9.ttf	(from https://demo.zytheme.com/lalan/assets/css/external.css)
11:52:45	957/957	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2013%20Nov%202019%2006:22:38%20GMT	https://demo.zytheme.com/lalan/assets/css/fonts/Linearicons-Free.svg?w118d	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/css/fonts/Linearicons-Free54e9.svg	(from https://demo.zytheme.com/lalan/assets/css/external.css)
11:52:45	957/957	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2013%20Nov%202019%2006:22:39%20GMT	https://demo.zytheme.com/lalan/assets/css/owl.video.play.png	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/css/owl.video.play.png	(from https://demo.zytheme.com/lalan/assets/css/external.css)
11:52:46	957/957	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2013%20Nov%202019%2006:22:40%20GMT	https://demo.zytheme.com/lalan/assets/fonts/glyphicons-halflings-regular.eot	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/fonts/glyphicons-halflings-regular.eot	(from https://demo.zytheme.com/lalan/assets/css/bootstrap.min.css)
11:52:47	957/957	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2013%20Nov%202019%2006:22:41%20GMT	https://demo.zytheme.com/lalan/assets/fonts/glyphicons-halflings-regular.eot?	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/fonts/glyphicons-halflings-regulard41d.eot	(from https://demo.zytheme.com/lalan/assets/css/bootstrap.min.css)
11:52:48	957/957	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2013%20Nov%202019%2006:22:41%20GMT	https://demo.zytheme.com/lalan/assets/fonts/glyphicons-halflings-regular.woff2	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/fonts/glyphicons-halflings-regular.woff2	(from https://demo.zytheme.com/lalan/assets/css/bootstrap.min.css)
